fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,word_original,it,hi_translit,ml_translit,ta_translit,te_translit,gu_translit,ml,ta,te,gu
"['peinture', 'artiste peintre', 'peintre', 'image', 'tableau']","['Abbild', 'Maler', 'Darstellung', 'Gemälde', 'Malerei']","['картина', 'образ', 'живопись', 'жи́вопись']","['image', 'picture', 'artist', 'painting', 'painter', 'art of painting']","['画', '绘画', '畫作', '油漆', '繪畫', '画儿', '图画']","['pintora', 'imagen', 'pintor', 'pintura', 'pintado', 'lienzo', 'cuadro']","['絵画', '画像', 'タブロー', '絵画作品']",['회화'],"['maal', 'maalimine', 'maalikunst']","['kuva', 'maalaustaide', 'maalaus']","['schilder', 'verven', 'plaatje', 'schilderen', 'kunstschilder', 'afbeelding', 'schilderkunst', 'geschilder', 'schilderij', 'schilderstuk', 'schilderwerk', 'doek']",['चित्रकला'],painting,"['pittura', 'pittore', 'raffigurazione', 'immagine', 'dipinto', 'verniciatura', 'quadro']","['chitrakala', 'chitra', 'rang', 'lekha', 'potrika']","['chitra', 'mural', 'kalapam', 'vishuddhi', 'rangam']","['chitra', 'kalai']","['chitra', 'kalpana', 'lekha', 'rangam', 'chitram']","['chitra', 'rang', 'kalakar', 'lekhak', 'chitrakala']","['ചിത്രം', 'കലാकृति', 'പെയിന്റിംഗ്', 'ചിത്രീകരണം']","['படமெடுப்பு', 'சித்திரம்', 'வரைபடம்', 'படச்சித்திரம்', 'பூங்கொத்து']","['చిత్రం', 'చిత్రకళ', 'రంగులు', 'వర్ణన', 'అలంకరణ']","['ચિત્ર', 'રંગોળી', 'કલાકૃતિ', 'ચિત્રકામ']"
"['riziculteur', 'riz', 'riz paddy', 'mètre']","['Reis', 'Meter']","['рис', 'метр']","['rice farmer', 'rice', 'rice grower', 'Rice gadu', 'meter', 'metre', 'm']","['米', '稻米', '稻', '稻子', '公尺', '米突', 'm']","['arroz', 'metro', 'm']","['稲', 'メートル', '㍍']","['쌀', '벼', '미터', '메터']","['riis', 'meeter']","['riisi', 'riisikasvi', 'metri', 'm']","['rijst', 'rijstboer', 'Aziatische rijst', 'meter', 'metriek']","['चावल', 'तंडुल', 'धान', 'भात', 'मीटर', 'मान', 'm']",rice,"['riso', 'risicoltore', 'risicultore', 'metro']","['chawal', 'bhat', 'anna', 'dhanya', 'dhanyavali']","['chaaval', 'ari']",['arisi'],"['bisi', 'chaval', 'akki', 'ponni', 'bhojanam']","['chawal', 'bhaat', 'akki']","['beras', 'അരി', 'चावल']","['அரிசி', 'சாதம்', 'நெல்', 'பச்சரிசி', 'அரி']","['ధాన్యం', 'బియ్యం', 'అన్నం']","['ચોખા', 'ભાત']"
['rouge'],['Rot'],"['красный', 'красный цвет', 'кра́сный']","['red', 'redness']","['红', '红色', '紅色']","['rojo', 'roja', 'rojez']",['赤'],"['빨강', '빨간색']",['punane'],"['punainen', 'punaisuus']","['rood', 'keel']",['लाल'],red,['rosso'],"['lal', 'laal', 'rakht', 'rang']",['cheru'],['kaalai'],"['raktham', 'loha', 'chandana']","['lal', 'rangilo', 'rakta', 'laal']","['കറുപ്പ്', 'ചുവപ്പ്']","['செந்நிறம்', 'சிவப்பு', 'கறுப்பு']","['ఎరుపు', 'లోహిత', 'కారం']",['લાલ']
"['route', 'itinéraire', 'chemin', 'fil', 'fil textile', 'droite', 'ligne droite', 'ligne', 'ficelle', 'corde']","['Strasse', 'Straße', 'Wegstrecke', 'Weg', 'Pfad', 'Route', 'Garn', 'Faden', 'Zwirn', 'Strang', 'Nähgarn', 'Gerade', 'Kordel', 'Schnur']","['дорога', 'курс', 'маршру́т', 'доро́га', 'тра́сса', 'путь', 'пряжа', 'пря́жа', 'нить', 'ни́тка', 'прямая', 'Шпагат', 'шпагат', 'верёвка', 'шнур', 'шпага́т', 'бечёвка']","['road', 'route', 'thread', 'yarn', 'straight line', 'line', 'string', 'twine', 'path', 'itinerary', 'travel itinerary', 'Travel itinerary']","['线', '沿路', '马路', '道路', '路徑', '馬路', '路径', '路', '航线', '路線', '航線', '道', '路线', '線', '公路', '纱线', '纱', '紗', '毛線', '毛线', '紗線', '直线', '合股線', '合股线', '细绳', '旅游行程', '旅遊行程', '行程', '轨道', '旅程', '小道', '小径', '途径']","['carretera', 'calle', 'camino', 'itinerario', 'ruta', 'hilo', 'hebra', 'hilado', 'lana', 'hilaza', 'recta', 'línea', 'cordel', 'mecate', 'cuerda', 'guita', 'bramante', 'cordón', 'recorrido']","['道', '道路', '路線', '通路', '道筋', 'ルート', '糸', '毛糸', '直線', '紐']","['도로', '경로', '길', '로선', '노선', '실', '털실', '직선', '끈']","['maantee', 'tee', 'marsruut', 'teekond', 'kedrus', 'lõng', 'niit', 'sirge', 'nöör', 'Nöör']","['tie', 'maantie', 'reitti', 'rihma', 'lanka', 'kuitu', 'säie', 'suora', 'muoto', 'naru', 'nyöri']","['baan', 'straat', 'weg', 'traject', 'route', 'kasseiweg', 'straatweg', 'steenweg', 'garen', 'draad', 'rechte lijn', 'lijn', 'touw', 'twijn', 'koord', 'streng', 'tweern', 'paktouw', 'bindtouw', 'bindgaren', 'pees']","['राह', 'रोड', 'रास्ता', 'सड़क', 'मार्ग', 'पथ', 'तागा', 'सूत', 'धागा', 'तंत', 'ताँत', 'सूत्र', 'डोरा', 'तन्तु', 'सरल रेखा', 'तार']",line,"['strada', 'itinerario', 'percorso', 'via di comunicazione', 'via', 'filo', 'filato', 'refe', 'cucirino', 'linea retta', 'linea', 'retta', 'stringa', 'spago', 'legaccio', 'laccetto', 'fila', 'cordicella', 'rotta']","['rekha', 'sirf', 'rasta', 'chiz']","['rekha', 'naal', 'paadham', 'sari', 'tharam']","['reṇṭu', 'nāṭṭu', 'pāṭṭu', 'pāṭṭi', 'pāṭṭu']","['rekha', 'nakshatramu', 'paada', 'rekhala', 'sari']","['rekha', 'sutra', 'padi', 'danda', 'chha']","['രേഖ', 'പരമ്പര', 'വരി', 'അക്ഷരം', 'അതിർത്തി']","['வரை', 'கோடு', 'வரி', 'எல்லை', 'பட்டை']","['రేఖ', 'పంక్తి', 'వరుస', 'కట్ట', 'సరళ']","['રેખા', 'કડી', 'કતાર', 'સરખા', 'દોર']"
"['réseau', 'filet', 'réseau informatique', 'maille de tricot', 'maillage', 'tissus']","['Netzwerk', 'Rechnernetz', 'Computernetzwerk', 'Netz', 'Gittergewebe', 'Gitter']","['компьютерная сеть', 'мерёжа', 'Сетка', 'мре́жа', 'се́тка', 'сеть']","['net', 'computer network', 'mesh', 'network', 'meshwork', 'meshing', 'knitting stitch']","['网', '電腦網路', '计算机网络', '網', '筛', '网孔', '網孔']","['malla', 'red informática', 'red de computadoras', 'red', 'red de ordenadores', 'rejilla']","['コンピュータ・ネットワーク', '編', '網', 'メッシュ']","['그물', '망']",['võrk'],"['verkko', 'seula']","['gaas', 'computernetwerk', 'netwerk', 'net', 'breisteek', 'vangnet']",['जाल'],net,"['rete', 'rete di calcolatori', 'rete informatica', 'maglia', 'reti']","['net', 'jhal', 'jaal']","['inet', 'jhalak', 'vaibhavam']","['inet', 'valai', 'aṭṭu']","['jhalak', 'janala', 'vaibhavamu', 'sambandhamu', 'vastu']","['jat', 'jali', 'sambandh', 'vahivat', 'vahan']","['ഇന്റർനെറ്റ്', 'ജാലകം', 'പരന്ന പാളി']","['இணையம்', 'மீன்பிடிப்புக் கம்பி', 'ஜால', 'திட்டம்', 'வேலை']","['జాలీ', 'జాల్', 'వెబ్']","['જાળ', 'નેટવર્ક', 'ટ્રેબ', 'ટાઈપ', 'સંકેત']"
"['thé', 'feuille de thé']","['Tee', 'Teeblatt', 'Teeblätter']","['чай', 'ча́йные ли́стья', 'ча́йный лист']","['tea', 'tea leaf']","['茶', '红茶', '茶叶', '茶葉']","['té', 'tisana', 'infusión', 'hoja de té']","['茶葉', 'お茶っ葉']","['차', '차잎', '찻잎', '다엽']",['tee'],"['tee', 'teelehti', 'teenlehdet', 'teenlehti']","['thee', 'theeblad']",['चाय'],tea,"['tè', 'thè', 'foglia di tè']","['chai', 'masala chai', 'adrak chai']","['chaaya', 'chhaaya', 'chai']","['chai', 'nariyal chai', 'kaapi']","['chai', 'chaaya']","['chai', 'cha', 'chha']","['ചായ', 'കാapi']","['பானை', 'காபி', 'சாப்பி', 'தேநீர்']","['చాయ', 'కాఫీ']","['ચા', 'ચાઈ', 'ચાપાણી']"
['pied'],"['Fuß', 'Pes']",['стопа'],"['human foot', 'foot', 'pes', 'Pes', 'Foot']","['足', '腳', '脚', '脚部']","['pie', 'pes', 'pata']",['ペス'],['발'],['Labajalg'],"['jalkaterä', 'jalka']","['voet', 'voeten', 'poot', 'pootje']",['पैर'],foot,['piede'],"['paad', 'hath', 'charan']","['kaalam', 'paadi']","['kaṭṭi', 'kālai', 'kaṭṭu', 'paṭṭi', 'paṭṭu']","['pada', 'jalamu', 'paadamu', 'chiraku', 'kaalamu']","['paad', 'chala', 'paay', 'paad', 'paad']","['കാല്\u200d', 'പാദം', 'അടി']","['கால்', 'பாதம்', 'அடி', 'தாள்', 'பாதம்']","['పాదం', 'కాలు', 'అడుగు']","['પગ', 'પાલ', 'પગલું', 'પગચેડ', 'ચરણ']"
"['or', 'métal']","['Gold', 'Metall', 'Metalle']","['золото', 'металл', 'металлы']","['gold', 'Au', 'metal', 'metallic element']","['金', '黃金', '黄金', '金子', '金属', '金属元素', '金屬']","['oro', 'metal', 'metales', 'elemento metálico']",['金属'],"['금', '금속']","['kuld', 'metall', 'metallid']","['kulta', 'Au', 'metallit', 'metalli', 'metalliaines']","['goud', 'metaal']","['सोना', 'धातु']",gold,"['oro', 'metallo']","['sone', 'hiira', 'suvarna', 'kanchan']","['suvarna', 'sona']","['pon', 'manaivi', 'suvarnam']","['suvarnamu', 'hiranya', 'kanaka', 'suvarnam', 'kanakamu']","['sone', 'suvarna', 'hiray', 'kanak']","['പൊന്\u200d', 'സ്വर्णം', 'പാണ്ഡ്യം', 'മണി']","['золото', 'தங்கம்', 'மதிப்பு', 'விலை', 'பச்சை']","['గురు', 'సువర్ణం', 'పసుపు', 'వెండి']","['સોનું', 'ચાંદી', 'હીરા', 'મુક્ત', 'રત્ન']"
"['encadrement de porte', 'porte', 'portière', 'huis']","['Türfutter', 'Türrahmen', 'Tor', 'Türzarge', 'Türen', 'Tür', 'Türe']","['две́ри', 'дверь', 'ворота']","['door case', 'doorcase', 'door', 'door frame', 'doorway', 'doorframe', 'gate']","['门', '戶', '門', '门儿', '門兒', '門扉', '闸门']","['puerta', 'marco de puerta', 'seguro', 'verja', 'barrera', 'portón']","['門', 'ドア', '扉', '戸', '戸口']","['문', '관문', '대문']","['uks', 'värav']","['ovi', 'portti']","['poort', 'portier', 'deur', 'hek', 'toegangshek', 'spoorboom', 'gate', 'overwegboom']","['द्वार', 'दरवाज़ा', 'दर', 'प्रवेश', 'दरवाजा']",door,"['telaio della porta', 'porta', 'portiera', 'uscio', 'sportello', 'cancello', 'barriera']","['dwaar', 'darwaza', 'pravesh']","['kadavu', 'paravai']","['kaṭṭi', 'vaasal']","['dvara', 'prakaasha', 'madhyam']","['dvar', 'darwaza', 'pravesh']","['പടി', 'വാതിൽ', 'താഴ്വര', 'കവാടം']","['தொகுப்பு', 'வாசல்', 'படி', 'கதவு', 'வாயில்']","['దరవాza', 'తలుపు', 'గేటు']","['દરવાજો', 'બાજુ', 'દરવાજા', 'પ્રવેશદ્વાર', 'પારિત']"
"['neige', 'couche de neige', 'chute de neige']","['Schneedecke', 'Schneefall', 'Schnee']","['снегопад', 'снег']","['snow cover', 'snow', 'snowfall', 'snow mantle']","['雪', '下雪', '降雪']","['nevada', 'capa de nieve', 'nieve', 'nevar']","['降雪', 'ゆき']",['눈'],['lumi'],"['lumi', 'lumisade']","['sneeuw', 'sneeuwlaag', 'sneeuwval', 'sneeuwwit', 'sneeuwen']","['हिम', 'हिमपात', 'बर्फ़']",snow,"['nevicata', 'caduta di neve', 'neve']","['baraf', 'boor', 'himal']",['thulaavu'],['malai'],"['sneham', 'chala  thanda  paani', 'thanda  paani']","['snow -  bāgh', 'bāghā', 'chānd', 'chāndni', 'sneh']","['മഞ്ഞു', 'പാറ', 'താഴ്വര']","['மழை', 'பனி', 'பனியு型', 'பனிக்காற்று', 'பனிப்பொழிவு']","['బర్షం', 'కొయ్య', 'మంచు']","['બરફ', 'બરફબાર']"
"['cheval', 'equus caballus', 'maman']","['Gaul', 'Pferd', 'Ross', 'Hauspferd']","['лошадь', 'домашняя лошадь']","['horse', 'Equus caballus', 'mom', 'mammy', 'mama', 'mummy', 'mum', 'ma', 'momma', 'mamma', 'mumma', 'mommy']","['马', '馬']","['caballo', 'Equus ferus caballus', 'yegua', 'equinos', 'mami', 'ma', 'mama', 'mamá', 'madre']","['馬', 'ウマ', 'Equus caballus']",['말'],['hobune'],"['hevonen', 'Equus caballus', 'äiti']","['paard', 'peerd', 'viervoeter', 'ros', 'mamma', 'mama']",['घोड़ा'],horse,"['cavallo', 'Equus ferus caballus', 'Equus caballus', ""ma'"", 'mammina', 'mamma']","['ghora', 'ashv', 'hiy', 'ghoda']","['ashva', 'gajam']","['palai', 'aṭṭu', 'vaṭṭu', 'kaṭṭu', 'maṇai']","['asva', 'gajulu']","['ghorad', 'asva']","['അश्व', 'ആന', 'മൃഗം', 'പശു', 'കുതിര']","['குதிரை', 'மாடு', 'அசுவ', 'வீரமான்', 'யானை']","['గంగ', 'ఆడగంగ', 'మేక', 'పందు', 'దుంగ']","['અश्व', 'કાઠિયા', 'ઘોડો']"
['jaune'],['Gelb'],"['жёлтый', 'жёлтый цвет']","['yellow', 'yellowness']","['黄', '黃色', '黄色']",['amarillo'],['黄色'],"['노랑', '황색']","['kollane', 'Kollane']","['keltainen', 'kelta', 'keltaisuus']","['geel', 'goud']","['पीला', 'ज़र्द']",yellow,['giallo'],"['pitta', 'peela', 'soni', 'kanta', 'narangi']","['manjal', 'ponn']","['manni', 'peyyam', 'ponn']","['penki', 'pempu', 'kanaka', 'kanaka varnam']","['pitta', 'naranga', 'kanta', 'kanth', 'sonal']","['노란색', 'पीला', 'പച്ചക്കറുപ്പ്']","['கீழ்', 'மஞ்சள்', 'पीला', 'மஞ்சள்நிறம்', 'மஞ்சள்']","['పసుపు', 'పచ్చరంగు', 'నారింజ']","['પીળો', 'પીળી', 'કાંકરી', 'સોનેરી', 'લીલો']"
"['blancheur', 'blanc']","['weiß', 'Weiß', 'Weiss', 'Weißgrad']","['белый', 'бе́лый цвет', 'белый цвет']","['whiteness', 'white', 'colorimetric whiteness']","['白', '白色']","['blanco', 'blancura']","['白色', '白色度']","['흰색', '흰', '하양']",['valge'],"['valkoinen', 'valkea', 'valkoisuus']","['blankheid', 'witheid', 'wit', 'zilver']","['सफ़ेद', 'श्वेत']",white,"['bianco', 'candore', 'bianchezza', 'pallidezza']","['safed', 'shweta', 'suvarna']","['thooval', 'kaari', 'snehtham', 'thooval']","['vennila', 'vazhvu', 'kaala', 'thiri', 'pōl']","['alba', 'shweta']","['shweta', 'safed']","['നീല', 'വെള്ള', 'പാടുക', 'വെളുപ്പ്', 'സ്വർണ്ണ']","['வெள்ளை', 'பழுப்பு', 'சாம்பல்', 'வெண்மை', 'நிறமற்ற']","['పసుపు', 'తెల్లని', 'బిగుసు', 'శుభ్రమైన', 'వెండి']","['શ्वेत', 'સફેદ', 'ચાંદી']"
"['un', 'Un']","['eins', 'Eins', 'ein']","['один', 'одно́', 'раз', 'оди́н', 'одна́', 'едини́ца']","['one', 'ace', 'unity', 'I', 'single', 'Numero Uno']",['一'],"['uno', 'es', 'dos']",['一つ'],"['한', '하나', '일']","['üks', 'Üks']","['yksi', 'ykkönen', 'I']","['één', 'een', 'i', 'twee']","['इक', 'एक']",one,['uno'],['ek'],['oru'],"['oru', 'aṭṭu', 'eṭṭu']","['ekkuva', 'eka', 'oru', 'mulaku']",['ek'],"['ഒന്ന്', 'ഒരു']","['ஒரு', 'ஒன்று']","['ఒక', 'ఒకటి', 'ఏకైక', 'ఒక్క', 'ఒకట']",['એક']
['deux'],"['zwei', 'Zwei']","['двойка', 'дво́йка', 'две', 'два', 'дво́е']","['two', 'deuce', 'II']","['二', '貳', '贰', '两', '兩']",['dos'],['二つ'],"['둘', '이', '두']","['kaks', 'Kaks']","['kakkonen', 'kaksi', 'II']",['twee'],"['द्वि', 'दुई', 'दो']",two,['due'],"['do', 'do']","['oru', 'rendu']","['rendu', 'irandu']","['rendu', 'eka duvvada']","['do', 'do-do', 'ek-ek', 'dva', 'do-do']","['രണ്ട്', 'രണ്ടു']","['இரண்டு', 'இரு', 'இரட்டை', 'இரண்டாம்', 'இரண்டே']","['రెండు', 'ద్వి', 'ఇద్దరు', 'రెండు']","['બે', 'બેપાસ', 'દ્વિ', 'બેટા', 'બેટા']"
"['six', 'demi-douzaine', 'sextuor']","['Schwindler', 'sechs', 'halbes Dutzend']","['шесть', 'полдю́жины', 'ше́стеро']","['six', 'half a dozen', 'sextuplet', 'VI', 'Captain Hicks', 'sise', 'sextet', 'hexad', 'sixer', 'sestet']",['六'],"['seis', 'Sexteto de música', 'sixer', 'sexteto', 'sise', 'hexad', 'sestet']","['シックス', '六つ']","['륙', '여섯', '육']","['kuus', 'Kuus']","['kuusi', 'puoli tusinaa', 'sekstetti', 'kuusikko', 'Captain Hicks', 'VI', 'heksa', 'kuutonen']","['zes', 'sextool']","['छः', 'छह']",six,"['sei', 'sestetto']",['chhesis'],"['aaru', 'shatam']",['aṟu'],"['shashti', 'chatushashti', 'atha']",['chhe'],"['ആറു', 'ഷിക്സ്', 'ആറ']",['ஆறு'],"['ఆరు', 'షష్టం']","['છ', 'છાણ', 'છ']"
"['psyché', 'esprit', 'noûs', 'Noûs', 'cerveau', 'tête', 'chef', 'leader']","['Verstand', 'Nous', 'Psyche', 'Geist', 'Wahrnehmung', 'Haupt', 'Kopf', 'Führer', 'Leiter']","['Нус', 'ра́зум', 'психика', 'ум', 'голова', 'глава́', 'башка́', 'голова́']","['head', 'brain', 'mind', 'nous', 'psyche', 'Nous', 'caput', 'chief', 'boss', 'director', 'leader', 'top dog']","['头', '头脑', '脑海', '脑袋', '精神', '心智', '心靈', '智性', '心灵', '头部', '頭子', '頭部', '头子', '頭', '腦袋', '首', '頭腦', '领袖', '首领', '首脑']","['mente', 'psique', 'Mente', 'Nous', 'nous', 'cabeza', 'cerebro', 'marote', 'melón', 'testa', 'sesera', 'coco', 'sabiola', 'tarro', 'maceta', 'chola', 'punta', 'líder', 'jefe', 'responsable']","['心', 'ヌース', '念頭', 'プシュケー', '頭', '頭部', 'リーダー', '指導者']","['누스', '프시케', '마음', '머리']","['nous', 'psüühika', 'Psüühika', 'Nous', 'vaim', 'Vaim', 'pea']","['Nous', 'Psyyke', 'mieli', 'pää', 'psyyke', 'nous', 'järki', 'älli', 'lanttu', 'kallo', 'pomo', 'päällikkö', 'johtaja']","['brein', 'verstand', 'psyche', 'Nous', 'geest', 'nous', 'denkvermogen', 'rede', 'kop', 'hoofd', 'baas', 'bazin', 'leider', 'op uw plaatsen, klaar, af!', 'chef', 'directeur', 'schoolhoofd', 'rector', 'ouwe', 'bestuurder']","['मन', 'सिर', 'सर']",head,"['testare', 'pensiero', 'mente', 'cervello', 'Intelletto cosmico', 'psiche', 'nous', 'testa', 'psicologia', 'capo', 'capoccia', 'zucca', 'chiorba', 'cranio', 'principale', 'leader', 'direttore', 'comandante', 'responsabile']",['sir'],"['mudal', 'thala', 'siras', 'muzhuppu', 'thala']","['thala', 'mukha']","['mudi', 'sariru', 'shiras']","['sar', 'shira', 'mukhya']","['ശിരസ്സ്', 'തല', 'മുഖം', 'തലയ്ക്കൽ', 'മേൽ']","['தலை', 'தல', 'முகம்', 'தலையகம்', 'முன்']","['머కు', 'తల', 'శిరస్సు', 'గుండె', 'చివర']","['મગજ', 'શીર', 'મસ્તક', 'માથું', 'શિરો']"
"['commerce', 'magasin', 'boutique']","['Einzelhandelsgeschäft', 'Geschäft', 'Laden']","['лавка', 'магазин', 'бути́к', 'магази́н', 'ла́вка']","['boutique', 'store', 'retail outlet', 'shop']","['店', '商店', '鋪子', '铺子', '店铺', '店鋪']","['tienda', 'comercio', 'negocio', 'establecimiento', 'almacén']","['商店', '販売店', '売店', '店鋪', 'ストア', 'ショップ']","['가게', '판매점', '상점']","['pood', 'kauplus']","['myymälä', 'kauppa']","['winkel', 'magazijn', 'nering', 'shop', 'atelier', 'zaak', 'werkplaats']","['दुकान', 'दूकान']",shop,"['negozio', 'magazzino', 'esercizio', 'spaccio', 'bottega', 'fondo commerciale', 'locale']","['dukaan', 'kiraya', 'dukan']","['kadai', 'angadi', 'dukaana']","['kaṭṭi', 'kōṭṭam', 'pāṭṭi', 'pāṭṭi', 'pāṭṭi']","['bhandaram', 'dukaana']","['dukaan', 'bazar', 'akhada', 'khopdi', 'thokri']","['കട', 'കടയ്ക്ക', 'അടയ്ക്ക', 'കച്ചവടം', 'കച്ചേരി']","['düக்கான்', 'கடை', 'ஆடைக்கடை', 'கடைகள்', 'கடலுக்கடை']","['düకాణం', 'దుకాణం', 'కొనుగోలు', 'అమ్మకం', 'బిట్']","['દુકાન', 'ભંડાર', 'કિંમત', 'સ્ટોર', 'બજાર']"
['ministère'],['Ministerium'],"['министерство', 'министе́рство']",['ministry'],"['部', '部门']","['ministerio', 'cartera', 'consejería']",['省'],"['성', '부', '부처']",['ministeerium'],['ministeriö'],"['ministerie', 'departement']",['मंत्रालय'],part,"['ministero', 'ministero statale', 'dicastero']","['hissssa', 'ang', 'bhaag', 'khand', 'daal']","['anga', 'bhagham', 'porutham', 'thala', 'kandam']","['poruttal', 'aṭṭu', 'paṭṭu', 'aṇṭu', 'kūṭṭam']","['angamu', 'anga', 'bhagamu', 'bhagavathu', 'daalamu']","['bhag', 'hissa', 'ang', 'khundal']","['ഭാഗം', 'അംശം', 'ഭാഗികം', 'പകുതി', 'ഘടകം']","['பகுதி', 'பாகு', 'பகுப்பு', 'பகுதி', 'துணை']","['భాగం', 'అంశం', 'భాగము', 'ముక్క', 'శ్రేణి']","['ભાગ', 'અંગ', 'કિસ્સા', 'ભુમિકા', 'હિસ્સો']"
"['yeux', ""globe de l'oeil"", 'œil', 'globe oculaire']","['Augapfel', 'Auge', 'Augen']","['глаз', 'глазное яблоко', 'око']","['eye', 'eyes', 'eyeball', 'eye ball', 'optic', 'oculus']","['目', '眼睛', '眼', '睛球', '睛']","['ojos', 'ojo', 'globo ocular', 'oculus']","['眼球', '眼']",['눈'],"['silm', 'silmamuna']","['silmämuna', 'silmä', 'näkö-', 'näkö']","['oogbol', 'ogen', 'oogappel', 'oog', 'kijker', 'kijkers']","['आँख', 'आंख']",eye,"['bulbo oculare', 'occhio', 'occhi']","['aankh', 'chakshu', 'drishti', 'netra', 'palak']","['kann', 'akshhi', 'nethra', 'chakshusha', 'drishti']","['kann', 'kaṇ', 'kanavu', 'kanni', 'kannam']","['nethra', 'chakshusu', 'drishti', 'kanna']","['akshu', 'chakshu', 'drishti', 'netra', 'nayana']","['അണ്ണ', 'കണ്ണ്', 'കാഴ്ച']","['அண்ணா', 'கண்', 'பார்வை', 'முகிழ்கண்', 'கண்கள்']","['ఆँख', 'కన్ను', 'చూపు']","['આંખ', 'દેખ', 'નજર', 'ચક્કર', 'દ્રષ્ટિ']"
['danse'],['Tanz'],['танец'],['dance'],"['舞', '舞蹈']","['danza', 'baile']",['ダンス'],['춤'],['tants'],['tanssi'],['dans'],['नृत्य'],dance,"['danza', 'ballo']","['naach', 'nritya']","['nritham', 'nritham', 'koodi', 'thullal']","['nṛtta', 'nṛityam', 'kuṛippu', 'thāṇam', 'pāṭṭu']","['nrittam', 'nritya', 'nritham', 'abhinayam']","['nritya', 'nritta', 'naach', 'thap', 'ghoomar']","['നൃത്തം', 'നൃത്തം', 'ചവിട്ടു', 'പാട്ടു', 'കളി']","['நृத்தம்', 'ஆடல்', 'நடனம்', 'பாடல்', 'சாட்டை']","['నృత్యం', 'నాటకం', 'పాట', 'కళ', 'మోహనం']","['નૃત્ય', 'નૃત', 'નૃત્યકલા', 'ચાલ', 'ગીત']"
"['caractère', 'lettre']","['Buchstabe', 'Letter']","['буква', 'бу́ква', 'ли́тера']","['letter', 'alphabetic character', 'letter of the alphabet']","['字', '字母', '文字', '文字字元', '文字字符']","['letra', 'carácter', 'carácter alfabético']","['文字', '字母']","['글씨', '글자', '문자', '낱자', '자모']","['pookstav', 'kirjatäht', 'täht', 'aabe']","['kirjain', 'aakkonen', 'aakkoskirjain']","['karakter', 'letter', 'boekstaaf', 'letterteken']","['अखर', 'आखर', 'वर्ण', 'हर्फ', 'हर्फ़', 'हरफ', 'अक्षर', 'हरफ़', 'लिपि']",word,"['carattere', 'lettera', ""lettera dell'alfabeto"", 'carattere alfabetico']","['shabd', 'pada', 'vakya', 'sabda', 'avachar']","['palam', 'shabdam', 'vaakyam', 'pada', 'avyaktam']","['valarchi', 'paṭṭi', 'uḷḷam', 'kural', 'kavi']","['pada', 'shabdam', 'vachanam']","['shabd', 'vakya', 'sankalp', 'naam', 'avachar']","['വാക്കു', 'പദം', 'വാക്യം']","['단어', 'சொல்', 'வார்த்தை']","['단어', 'పదం', 'వచనం', 'శబ్దం', 'పదకోశం']","['શબ્દ', 'પાત્ર', 'શબ્દસમૂહ', 'ઉચ્ચાર']"
"['paire', 'couple']","['Paar', 'geordnetes Paar']","['пара', 'па́ра', 'упорядоченная пара']","['pair', 'brace', 'ordered pair']","['双', '雙', '一對', '有序对', '對', '对', '一对']","['par', 'par ordenado']","['一組', '順序対', '対', 'ペア', '一対']","['켤레', '순서쌍', '한쌍', '페어']","['Järjestatud paar', 'järjestatud paar', 'paar']","['järjestetty pari', 'pari']","['koppel', 'tweetal', 'paar', 'duo']","['क्रमित युग्म', 'जोड़ा']",pair,"['coppia', 'coppia ordinata', 'paio']","['jodi', 'jora', 'do', 'dala', 'sah']","['jodisam', 'dvipam', 'yugam']","['kōṭṭai', 'kōṭṭu', 'kōṭṭam', 'kōṭṭaiyai', 'kōṭṭaiyiruppu']","['jodu', 'yugala', 'danda']","['jodi', 'yuga', 'do', 'dala', 'jora']","['Jodi', 'തമ്പടി', 'കൂട്ടം']","['இணை', 'ஜோடி', 'தம்பதி', 'துணையுள்ள', 'இருசேர']","['Jodi', 'దంపతులు', 'జంట', 'సముదాయం', 'ద్వయం']","['જોડી', 'સમૂહ', 'દંપતી']"
"['lumière', 'source lumineuse', 'lumière visible']","['Lichtquelle', 'Licht']","['свет', 'Свет', 'ви́димый свет']","['light', 'light source', 'visible light', 'visible radiation']","['光', '可見光', '可见光']","['fuente luminosa', 'luz', 'luz visible', 'radiación visible']","['可視光', '可視光線']","['가시광선', '빛']",['valgus'],"['valo', 'näkyvä valo', 'näkyvä säteily']","['licht', 'lichtbron']",['प्रकाश'],light,"['luce', 'sorgente luminosa', 'radiazione visibile', 'luce visibile']","['roshni', 'prakaash', 'jyoti', 'deep', 'nimit']","['jyothi', 'vilakku', 'prakaasam']","['nālam', 'vilakku', 'jyothi', 'pōthu', 'kānti']","['jyothi', 'prakasam', 'vilakku', 'nimisham']","['jyoti', 'prakas', 'roshni', 'nimit']","['പ്രകാശം', 'വെളിച്ചം', 'തെളിവ്', 'ജ्योതി']","['ஒளி', 'வெளிச்சம்', 'பிரகாசம்', 'விளக்கு']","['కాంతి', 'వెలుగు', 'ప్రకాశం', 'జ్యోతి', 'దీపం']","['જ્યોત', 'પ્રકાશ', 'ચમક', 'દિવા', 'રંગ']"
