fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,word_original,it,hi_translit,ml_translit,ta_translit,te_translit,gu_translit,ml,ta,te,gu,ml_devnagari,ta_devnagari,te_devnagari,gu_devnagari
"['site Web', 'site Internet', 'site web', 'site internet', 'localité', 'emplacement', 'position', 'lieu', 'position géographique', 'localisation', 'situation']","['Internetauftritt', 'Internetpräsenz', 'Webangebot', 'Netzauftritt', 'Webauftritt', 'Webpräsenz', 'Website', 'geographische Lage', 'Platz', 'Standort', 'Ort', 'Lage']","['веб-страни́ца', 'сайт', 'страни́ца интерне́та', 'веб-са́йт', 'географическое местоположение', 'ме́сто', 'положе́ние', 'местоположе́ние', 'пози́ция', 'географическое положение', 'местонахожде́ние', 'расположе́ние']","['site', 'Web site', 'website', 'internet site', 'web site', 'locus', 'locale', 'location', 'locality', 'geographic location']","['网站', '網站', '网络站点', '地理位置', '地点', '地點', '地方', '场所', '場所', '位置']","['sitio Web', 'web', 'sitio web', 'página web', 'website', 'escena', 'vecindad', 'escenario', 'hábitat', 'suburbio', 'área', 'lugar', 'territorio', 'ambiente', 'ubicación', 'posición', 'localización geográfica']","['ウェブサイト', 'サイト', '位置', '地方', '地点', '場所', '立地']","['웹사이트', '사이트', '위치', '지점', '지리적 위치', '장소']","['veebisait', 'asukoht', 'geograafiline asend', 'ruum']","['nettisivu', 'verkkosivusto', 'sivusto', 'www-sivu', 'nettisivut', 'internet-sivut', 'sijainti', 'paikka']","['website', 'webstek', 'locatie', 'plaats', 'geografische locatie']","['स्थल', 'स्थान', 'जगह', 'वेबसाइट', 'लोकेशन']",site,"['sito web', 'sito', 'luogo', 'posizione', 'ubicazione']","['sthal', 'sthaan', 'jagah', 'website', 'location']","['sthalam', 'saitt', 'websait', 'sthaanam', 'lokkeshan']","['idam', 'thalam', 'thalam', 'sthalam', 'nilaiyam']","['sthalam', 'pradaesam', 'sthaanam', 'jaaga', 'samsthalu']","['sthal', 'site', 'jagyaa', 'sthaan', 'mathak']","['സ്ഥലം', 'സൈറ്റ്', 'വെബ്സൈറ്റ്', 'സ്ഥാനം', 'ലോക്കേഷൻ']","['இடம்', 'தளம்', 'தலம்', 'ஸ்தலம்', 'நிலையம்']","['స్థలం', 'ప్రదేశం', 'స్థానం', 'జాగా', 'సంస్థలు']","['સ્થળ', 'સાઇટ', 'જગ્યા', 'સ્થાન', 'મથક']","['स्थलम', 'सैत्त', 'वेबसाइट', 'स्थानम', 'लोककेशन']","['इदम', 'थलम', 'थलम', 'स्थलम', 'निलैयम']","['स्थलम', 'प्रदेसम', 'स्थानम', 'जागा', 'समस्थलु']","['स्थल', 'सिते', 'जग्या', 'स्थान', 'मथक']"
"['danse', 'danser']","['Tanz', 'Tanzen']","['танец', 'пляс', 'та́нец', 'пля́ска']","['dance', 'dancing', 'saltation', 'terpsichore']","['舞蹈', '跳舞']","['danza', 'baile']","['ダンス', '踊り', '舞踊']","['춤', '댄스']",['tants'],"['tanssi', 'tanssiminen']","['dans', 'dansen']","['नृत्य', 'नाच', 'थिरक', 'डांस', 'गत']",dance,"['danza', 'ballo', 'ballare', 'danzare']","['nritya', 'naach', 'thirak', 'dance', 'gata']","['nritham', 'thaalam', 'naatyam', 'nartthanam', 'abhinayam']","['nadanam', 'aattam', 'asaivu', 'thaalam', 'adiyeduththu']","['natyam', 'nrutyam', 'taandavam', 'nartanam', 'adugulu']","['nrutya', 'daagh', 'ramat', 'raas', 'garba']","['നൃത്തം', 'താളം', 'നാട്യം', 'നർത്തനം', 'അഭിനയം']","['நடனம்', 'ஆட்டம்', 'அசைவு', 'தாளம்', 'அடியெடுத்து']","['నాట్యం', 'నృత్యం', 'తాండవం', 'నర్తనం', 'అడుగులు']","['નૃત્ય', 'ડાઘ', 'રમત', 'રાસ', 'ગરબા']","['नृत्तम', 'थालम', 'नाट्यम', 'नर्त्थनम', 'अभिनयम']","['नदनम', 'आत्तम', 'असैवू', 'थालम', 'अडियेदुत्थु']","['नाट्यम', 'नृत्यम', 'तांडवम', 'नर्तनम', 'अदुगुलु']","['नृत्य', 'दाघ', 'रमत', 'रास', 'गरबा']"
"['mot', 'propos', 'délibération']",['Wort'],['слово'],"['word', 'give-and-take', 'discussion']","['詞', '词', '單詞', '单词', '字词']","['palabra', 'vocablo', 'intercambio', 'debate', 'discusión']","['言葉', '単語', '語']",['낱말'],['sõna'],"['sana', 'keskustelu', 'ajatustenvaihto', 'mielipiteidenvaihto']",['woord'],"['शब्द', 'शब्दावली', 'वाक्य', 'वचन', 'अभिव्यक्ति']",word,"['parola', 'termine', 'suono', 'vocabolo', 'dibattito', 'discussione']","['shabd', 'shabdawali', 'vaakya', 'vachan', 'abhivyakti']","['vaakk', 'padam', 'shabdam', 'prayogam', 'vyavaharam']","['soll', 'varththai', 'mozhi', 'kilavi', 'koottru']","['padam', 'sabdam', 'vachanam', 'padyam', 'vaakyam']","['shabd', 'vachan', 'uktee', 'vaanee', 'bhaasha']","['വാക്ക്', 'പദം', 'ശബ്ദം', 'പ്രയോഗം', 'വ്യവഹാരം']","['சொல்', 'வார்த்தை', 'மொழி', 'கிளவி', 'கூற்று']","['పదం', 'శబ్దం', 'వచనం', 'పద్యం', 'వాక్యం']","['શબ્દ', 'વચન', 'ઉક્તિ', 'વાણી', 'ભાષા']","['वाक्क', 'पदम', 'शब्दम', 'प्रयोगम', 'व्यवहाराम']","['सोल', 'वार्थथाई', 'मोझी', 'किलावी', 'कुत्त्रु']","['पदम', 'सबदम', 'वचनम', 'पद्यम', 'वाक्यम']","['शब्द', 'वचन', 'उकती', 'वाणी', 'भाषा']"
"['paire', 'couple']","['Paar', 'geordnetes Paar']","['пара', 'па́ра', 'упорядоченная пара']","['pair', 'brace', 'ordered pair']","['雙', '一對', '有序对', '双', '對', '对', '一对']","['par', 'par ordenado']","['一組', '順序対', '対', 'ペア', '一対']","['켤레', '순서쌍', '한쌍', '페어']","['Järjestatud paar', 'järjestatud paar', 'paar']","['järjestetty pari', 'pari']","['koppel', 'tweetal', 'paar', 'duo']","['जोड़ा', 'युग्म', 'जोरा', 'दाम', 'साथी']",pair,"['coppia', 'coppia ordinata', 'paio']","['jodaa', 'yugm', 'joraa', 'daam', 'saathi']","['jodi', 'koott', 'dambathi', 'yugmam', 'jody']","['jody', 'irattai', 'thambathi', 'saerkkai', 'thunai']","['jatha', 'janta', 'yugmam', 'dvayam', 'samuuham']","['jodee', 'yugma', 'jodaa', 'dampati', 'saathidaar']","['ജോടി', 'കൂട്ട്', 'ദമ്പതി', 'യുഗ്മം', 'ജോഡി']","['ஜோடி', 'இரட்டை', 'தம்பதி', 'சேர்க்கை', 'துணை']","['జత', 'జంట', 'యుగ్మం', 'ద్వయం', 'సమూహం']","['જોડી', 'યુગ્મ', 'જોડા', 'દંપતી', 'સાથીદાર']","['जोड़ी', 'कूट्ट', 'दंबाथी', 'युग्मम', 'जोडी']","['जोडी', 'इरत्तै', 'थंबाथी', 'सैरक्कई', 'थुनाई']","['जथा', 'जनता', 'युग्मम', 'द्वयं', 'समूहम']","['जोड़ी', 'युग्मा', 'जोड़ा', 'दम्पति', 'साथीदार']"
"['siège', 'place']","['Sitz', 'Sitzgelegenheit', 'Sitzplatz']","['сиде́нье', 'ме́сто']",['seat'],"['座位', '位子', '座席']","['asiento', 'escaño', 'seato']","['座位', '座席', '腰掛け', '席', 'シート']","['좌석', '자리', '시트']",['iste'],"['istuin', 'istumapaikka', 'paikka']","['zetel', 'stoel', 'leunstoel', 'fauteuil', 'zitje', 'zitplaats', 'zitmeubel', 'zitting']","['आसन', 'स्थान', 'सीट', 'पद', 'कुर्सी']",seat,"['sedile', 'seduta', 'scranno', 'posto']","['aasan', 'sthaan', 'seat', 'pada', 'kursi']","['irippidam', 'aasanam', 'sthaanam', 'sadass']","['irukkai', 'amarvu', 'aasanam', 'thindu', 'gurusi']","['seatu', 'kurchi', 'aasanam', 'sthaanam', 'peetham']","['aasan', 'bethak', 'sthaan', 'jagyaa', 'birajman']","['ഇരിപ്പിടം', 'ആസനം', 'സ്ഥാനം', 'സദസ്സ്']","['இருக்கை', 'அமர்வு', 'ஆசனம்', 'திண்டு', 'குருசி']","['సీటు', 'కుర్చీ', 'ఆసనం', 'స్థానం', 'పీఠం']","['આસન', 'બેઠક', 'સ્થાન', 'જગ્યા', 'બિરાજમાન']","['इरिप्पिदम', 'आसनम', 'स्थानम', 'सदस्स']","['इरुक्कई', 'अमरवू', 'आसनम', 'थिंडू', 'गुरूसी']","['सीटू', 'कुर्ची', 'आसनम', 'स्थानम', 'पीठम']","['आसन', 'बेथक', 'स्थान', 'जग्या', 'बिराजमान']"
"['lumière', 'source lumineuse', 'lumière visible', 'rebord', 'fenêtre', 'rebord de fenêtre', 'luminaire', 'briquet', 'lampe', 'allumeur', 'igniteur']","['Lichtquelle', 'Licht', 'Fenster', 'Fensterbank', 'Lampe', 'Feuerzeug', 'Flamme', 'Zünder']","['свет', 'Свет', 'ви́димый свет', 'иллюминатор', 'люк', 'окно', 'витрина', 'лампа', 'зажигалка']","['light', 'light source', 'visible light', 'visible radiation', 'sill', 'window ledge', 'window', 'window sill', 'ledge-sill', 'lamp', 'cigarette lighter', 'lighter', 'pocket lighter', 'igniter', 'ignitor']","['可見光', '光', '可见光', '窗仔門', '窗戶', '窗户', '窗仔门', '窗', '燈', '灯', '点火器', '打火机', '打火機']","['fuente luminosa', 'luz', 'luz visible', 'radiación visible', 'ventana', 'encendedor', 'lámpara', 'luminaria', 'mechero', 'yesquero', 'fuego', 'briquet']","['光', '可視光', '可視光線', '窓', 'ライター', '明かり', 'ランプ', '火']","['가시광선', '빛', '창', '창문', '라이터', '불']","['valgus', 'aken', 'lamp', 'tulemasin', 'Välgumihkel', 'välgumihkel']","['valo', 'näkyvä valo', 'näkyvä säteily', 'ikkuna', 'akkuna', 'sytytin', 'lamppu', 'tuli']","['licht', 'lichtbron', 'raam', 'venstertablet', 'venster', 'glasraam', 'vensterraam', 'raampje', 'lamp', 'aansteker', 'vuurtje']","['प्रकाश', 'रोशनी', 'उजाला', 'ज्योति', 'चमक']",light,"['luce', 'sorgente luminosa', 'radiazione visibile', 'luce visibile', 'finestra', 'davanzale', 'bordo della finestra', 'davanzale della finestra', 'accendino', 'lampada', 'accenditore', 'macchinetta']","['prakaash', 'roshni', 'ujala', 'jyoti', 'chamak']","['prakasham', 'velicham', 'deepam', 'jwala', 'teevratha']","['olii', 'velichcham', 'sorasorappu', 'jolikka', 'prakaasam']","['velugu', 'kaanti', 'jyothi', 'deepti', 'prakaasam']","['prakaash', 'zalak', 'tej', 'ujaas', 'zankho']","['പ്രകാശം', 'വെളിച്ചം', 'ദീപം', 'ജ്വാല', 'തീവ്രത']","['ஒளி', 'வெளிச்சம்', 'சொரசொரப்பு', 'ஜொலிக்க', 'பிரகாசம்']","['వెలుగు', 'కాంతి', 'జ్యోతి', 'దీప్తి', 'ప్రకాశం']","['પ્રકાશ', 'ઝળક', 'તેજ', 'ઉજાસ', 'ઝાંખો']","['प्रकाशम', 'वेलिचम', 'दीपम', 'ज्वाला', 'तीव्रथा']","['ओली', 'वेलिच्छम', 'सोरासोरप्पु', 'जोलिक्का', 'प्रकासम']","['वेलुगु', 'कांति', 'ज्योति', 'दीप्ति', 'प्रकासम']","['प्रकाश', 'ज़लक', 'तेज', 'उजास', 'ज़ांखो']"
"['mille', 'mil']","['Tausend', 'tausend']","['тысяча', 'ты́сяча']","['thousand', 'one thousand', 'K', 'G', 'chiliad', 'yard', 'M', 'grand', 'thou']",['千'],"['un mil', 'mil', 'chiliad', 'millar']",['千'],['천'],"['Tuhat', 'tuhat']","['tuhat', 'K', 'G', 'M', 'jaardi', 'tuhat dollaria', 'yksi tuhat', 'tuhatluku']","['duizend', 'Chiliad', 'duizendvoud', 'chiliade', 'mille', 'duizendtal', 'gij']","['हजार', 'सहस्र', 'आयुत', 'सहस्रा', 'हज़ारा']",thousand,"['mille', 'migliaio', 'M']","['hazaar', 'sahasr', 'ayut', 'sahasra', 'haaraa']","['aayiram', 'sahasram', 'velluveezhcha', 'പതിനായിരത്തിന്റെ patthu', 'sahasradhikam']","['aayiram', 'vaeli', 'pallayiram', 'koadi', 'ayutham']","['veyi', 'sahasra', 'ayutam', 'padiveelu']","['hajaar', 'sahastra', 'ekahajaar', 'hajaaro', 'sahasraanshu']","['ആയിരം', 'സഹസ്രം', 'വെള്ളുവീഴ്ച', 'പതിനായിരത്തിന്റെ പത്ത്', 'സഹസ്രാധികം']","['ஆயிரம்', 'வேலி', 'பல்லாயிரம்', 'கோடி', 'அயுதம்']","['వేయి', 'సహస్ర', 'అయుతం', 'పదివేలు']","['હજાર', 'સહસ્ત્ર', 'એકહજાર', 'હજારો', 'સહસ્રાંશુ']","['आयीराम', 'सहसराम', 'वेल्लुवीझचा', 'പതിനായിരത്തിന്റെ पट्ठू', 'सहस्राधिकम']","['आयीराम', 'वैली', 'पल्लईराम', 'कोआड़ी', 'आयुथम']","['वेयी', 'सहसरा', 'आयुतम', 'पदिवीलु']","['हजार', 'सहस्त्र', 'एकहजार', 'हजारो', 'सहस्रांशु']"
['nord'],['Norden'],"['север', 'Север']","['north', 'northward', 'N', 'due north']","['北', '北方']",['norte'],['北'],['북쪽'],['põhi'],"['pohjoinen', 'suoraan pohjoiseen', 'N']","['noord', 'noorden']","['उत्तर', 'दिशा', 'दिक्', 'ओर', 'दिशा']",north,"['nord', 'settentrione', 'mezzanotte', 'tramontana']","['uttar', 'disha', 'dick', 'or', 'disha']","['vadakk', 'utharam']","['vadam', 'vadakku', 'thisai', 'nerungi', 'pakuthi']","['uttaram', 'vaayuvya', 'uttaradisa', 'vayuvyam', 'uttaramu']","['uttar', 'uttardisha', 'uttarbhaag', 'uttareey', 'uttarayan']","['വടക്ക്', 'ഉത്തരം']","['வடம்', 'வடக்கு', 'திசை', 'நெருங்கி', 'பகுதி']","['ఉత్తరం', 'వాయువ్య', 'ఉత్తరదిశ', 'వాయువ్యం', 'ఉత్తరము']","['ઉત્તર', 'ઉત્તરદિશા', 'ઉત્તરભાગ', 'ઉત્તરીય', 'ઉત્તરાયણ']","['वडक्क', 'उथाराम']","['वदम', 'वडक्कू', 'थिसाई', 'नेरूंगी', 'पकुठी']","['उत्तरम', 'वायुव्य', 'उत्तरदिसा', 'वायुव्यम', 'उत्तरमु']","['उत्तर', 'उत्तरदिशा', 'उत्तरभाग', 'उत्तरीय', 'उत्तरायण']"
"['voiture', 'bagnole', 'automobile', 'auto', 'char', 'dispositif', 'appareil', 'système', 'mécanisme']","['Auto', 'Wagen', 'Automobil', 'Pkw', 'Personenwagen', 'Kraftfahrzeug', 'PKW', 'Personenkraftwagen', 'Kraftwagen', 'Maschine', 'Einrichtung', 'Einheit', 'Baustein', 'Instrument', 'Hilfsmittel', 'Vorrichtung', 'Apparat', 'Gerät']","['автомобиль', 'маши́на', 'мото́р', 'авто́', 'та́чка', 'автомоби́ль', 'автомаши́на', 'прибо́р', 'дева́йс', 'приспособле́ние', 'аппара́т', 'механи́зм', 'устро́йство', 'га́джет']","['machine', 'car', 'automobile', 'auto', 'motorcar', 'motor car', 'device']","['汽车', '車', '车', '汽車', '机动车', '機動車', '裝置', '装置', '发明物']","['carro', 'coche', 'automóvil', 'auto', 'vehículo', 'máquina', 'turismo', 'aparato', 'dispositivo', 'mecanismo', 'aparejo']","['自動車', '車', '四輪車', '乗用車', 'デバイス', '装置']","['자동차', '사륜차', '승용차', '차', '승용자동차', '장치', '디바이스']","['auto', 'automobiil', 'masin', 'seade', 'aparaat']","['auto', 'henkilöauto', 'automobiili', 'moottoriajoneuvo', 'ajoneuvo', 'kone', 'laite']","['auto', 'automobiel', 'kar', 'wagen', 'motorrijtuig', 'toestel', 'apparaat']","['यंत्र', 'मशीन', 'उपकरण', 'मशीनरी', 'तरकीब']",machine,"['autoveicolo', 'auto', 'autovettura', 'automobile', 'macchina', 'vettura', 'apparecchio', 'periferica', 'dispositivo', 'congegno', 'arnese']","['yantra', 'machine', 'upkaran', 'machinary', 'tarkib']","['yanthram', 'mesheen', 'upakaranam', 'samvidaanam']","['iyanththiram', 'karuvi', 'jody', 'yandhiram', 'saathanam']","['yantram', 'parikaram', 'upakaranam', 'vastuvu', 'sadhanam']","['yantra', 'machine', 'upkaran', 'yantrana', 'saadhan']","['യന്ത്രം', 'മെഷീൻ', 'ഉപകരണം', 'സംവിധാനം']","['இயந்திரம்', 'கருவி', 'ஜோடி', 'யந்திரம்', 'சாதனம்']","['యంత్రం', 'పరికరం', 'ఉపకరణం', 'వస్తువు', 'సాధనం']","['યંત્ર', 'મશીન', 'ઉપકરણ', 'યંત્રણા', 'સાધન']","['यंथराम', 'मेशीन', 'उपकरणम', 'संविदानम']","['इयंथ्थीराम', 'करुवी', 'जोडी', 'यांधीराम', 'साथनम']","['यंत्रम', 'परिकरम', 'उपकरणम', 'वस्तुवु', 'साधनम']","['यंत्र', 'मशीन', 'उपकरण', 'यंत्रणा', 'साधन']"
"['temps', 'temps grammatical']","['Zeit', 'Zeitform', 'Tempus']",['время'],"['time', 'tense', 'grammatical tense']","['時間', '时间', '时态']","['tiempo', 'tiempo gramatical']","['時間', '時制']","['시간', '시제']",['aeg'],"['aika', 'aikamuoto', 'tempus']","['tijd', 'werkwoordstijd']","['समय', 'काल', 'घड़ी', 'अवधि', 'पल']",time,"['tempo', 'data']","['samay', 'kaal', 'ghadee', 'avadhi', 'pull']","['samayam', 'kaalam', 'avasaram', 'neram', 'thiriv']","['neram', 'kaalam', 'samayam', 'tharunam', 'kattam']","['samayam', 'kaalam', 'vaelha', 'samayakalam', 'kshanam']","['samay', 'velaa', 'kaal', 'avadhee', 'kshan']","['സമയം', 'കാലം', 'അവസരം', 'നേരം', 'തിരിവ്']","['நேரம்', 'காலம்', 'சமயம்', 'தருணம்', 'கட்டம்']","['సమయం', 'కాలం', 'వేళ', 'సమయకాలం', 'క్షణం']","['સમય', 'વેળા', 'કાળ', 'અવધિ', 'ક્ષણ']","['समयम', 'कालम', 'अवसरम', 'नेरम', 'थिरिव']","['नेरम', 'कालम', 'समयम', 'थरूनाम', 'कट्टम']","['समयम', 'कालम', 'वैल्हा', 'समयकलम', 'क्षणम']","['समय', 'वेला', 'काल', 'अवधि', 'क्षण']"
"['camaraderie', 'amitié', 'ami', 'amie']","['Kameradschaft', 'Freundschaft', 'Freund', 'Freundin']",['дружба'],"['friend', 'camaraderie', 'comradeship', 'comradery', 'chumminess', 'comradeliness', 'friendship', 'friendly relationship']","['友情', '友爱', '友谊', '朋友', '友人']","['camaradería', 'amistad', 'relación amistosa', 'amigo', 'amiga', 'camarada']","['友情', '交際', '友達', '友人']",['우정'],['sõprus'],"['ystävyys', 'ystävyyssuhde', 'ystävä']","['kameraadschap', 'vriendschap', 'vriendschapsband', 'vriendschappelijkheid', 'vriendschapsbanden', 'maat', 'gabber', 'vriend', 'compagnon', 'makker', 'kameraad', 'amice', 'vriendin', 'gezel', 'vrind', 'kornuit', 'deelgenoot', 'kompaan']","['मित्र', 'दोस्त', 'साथी', 'संगी', 'सहयोगी']",friend,"['cameratismo', 'amicizia', 'amistà', 'amico']","['mitra', 'dost', 'saathi', 'sangee', 'sahayogi']","['suhruthu', 'uttasuhrithu', 'mithram', 'snehitan', 'angaadippaka']","['nanban', 'thoazhan', 'sugabogan', 'uravu', 'thoazhi']","['snehitudu', 'mitrudu', 'bandhuvu', 'chelikaadu', 'thodi']","['mitra', 'saathee', 'sahyogi', 'sambandhi', 'sahchar']","['സുഹൃത്ത്', 'ഉറ്റസുഹൃത്ത്', 'മിത്രം', 'സ്നേഹിതൻ', 'അങ്ങാടിപ്പക']","['நண்பன்', 'தோழன்', 'சுகபோகன்', 'உறவு', 'தோழி']","['స్నేహితుడు', 'మిత్రుడు', 'బంధువు', 'చెలికాడు', 'తోడి']","['મિત્ર', 'સાથી', 'સહયોગી', 'સંબંધી', 'સહચર']","['सुहृतु', 'उत्तसुहृतु', 'मिथराम', 'स्नेहितां', 'अंगादिप्पक']","['नानबान', 'थोआझान', 'सुगाबोगन', 'उरवू', 'थोआझी']","['स्नेहीतुडु', 'मित्रुडु', 'बंधुवु', 'चेलिकाडु', 'थोड़ी']","['मित्रा', 'साथी', 'सहयोगी', 'संबंधी', 'सहचर']"
"['noir', 'couleur', 'teinte', 'teint']","['Farbe', 'Schwarz', 'Teint', 'Gesichtsfarbe']","['чёрный', 'цвет']","['color', 'black', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors']","['黑色', '颜色', '顏色', '烏黑色', '色', '乌', '乌黑色', '烏', '詳細顏色列表']","['negra', 'tez', 'negro', 'coloración', 'colorido']","['黒', '色', 'くろ', 'ワインの色']","['검정', '검은색', '색깔', '색']","['must', 'värv', 'värvus', 'Värvuste loendid']","['väri', 'musta', 'väritys']","['gelaatskleur', 'teint', 'zwart', 'kleur', 'kleurtje']","['रंग', 'वर्ण', 'ध्वनि', 'छाया', 'रूचि']",color,"['colore', 'carnagione', 'nero', 'colorazione']","['rung', 'varna', 'dhwani', 'chhaaya', 'roochi']","['niram', 'varnnam', 'chaaya', 'thilakkam', 'rung']","['niram', 'vannam', 'niram', 'varnam', 'pattu']","['rangu', 'varnam', 'dhwani', 'chaaya', 'varnakam']","['rung', 'varn', 'chhaaya', 'rangat', 'rangdravya']","['നിറം', 'വർണ്ണം', 'ചായ', 'തിളക്കം', 'രംഗ്']","['நிறம்', 'வண்ணம்', 'நிரம்', 'வர்ணம்', 'பட்டு']","['రంగు', 'వర్ణం', 'ధ్వని', 'ఛాయ', 'వర్ణకం']","['રંગ', 'વર્ણ', 'છાયા', 'રંગત', 'રંગદ્રવ્ય']","['निरम', 'वर्णनाम', 'छाया', 'थिलक्कम', 'रुंग']","['निरम', 'वन्नम', 'निरम', 'वर्णम', 'पट्टू']","['रंगू', 'वर्णम', 'ध्वनि', 'छाया', 'वर्णकम']","['रुंग', 'वर्ण', 'छाया', 'रंगत', 'रंगद्रव्य']"
"['type', 'sorte', 'acabit', 'genre', 'forme']","['Sorte', 'Art']","['тип', 'разнообра́зие', 'вид', 'разнови́дность', 'род', 'сорт']","['kind', 'sort', 'form', 'variety']","['類', '类']","['tipo', 'clase', 'forma', 'género', 'especie']",['種類'],['종류'],"['sort', 'tõug', 'liik']","['luokka', 'moninaisuus', 'laji', 'laatu', 'tyyppi', '-lainen', 'monimuotoisuus', 'valikoima']","['soort', 'type', 'ras', 'genre', 'categorie', 'aard']","['दयालु', 'प्रेमी', 'सहृदय', 'मित्रवत', 'स्नेही']",kind,"['classe', 'tipo', 'genere', 'modello', 'ordine', 'sorta', 'qualità', 'carattere', 'natura', 'specie', 'fatta', 'forma', 'razza']","['dayalu', 'premi', 'sahridaya', 'mitravat', 'snehi']","['daya', 'sneham', 'karuna', 'jagrata', 'mriduthvam']","['anbu', 'inimai', 'natpu', 'karunai', 'panbu']","['daya', 'mruduvaina', 'soumya', 'sannihita', 'snehapoorvaka']","['dayaalu', 'sahruday', 'sanmanjanak', 'mahenatu', 'udaar']","['ദയ', 'സ്നേഹം', 'കരുണ', 'ജാഗ്രത', 'മൃദുത്വം']","['அன்பு', 'இனிமை', 'நட்பு', 'கருணை', 'பண்பு']","['దయ', 'మృదువైన', 'సౌమ్య', 'సన్నిహిత', 'స్నేహపూర్వక']","['દયાળુ', 'સહૃદય', 'સન્માનજનક', 'મહેનતુ', 'ઉદાર']","['दया', 'स्नेहम', 'करुणा', 'जाग्रता', 'मृदुत्वम']","['अंबू', 'इनिमाई', 'नाटपू', 'करुणाई', 'पानबू']","['दया', 'मृदुवैना', 'सौम्य', 'सन्निहिता', 'स्नेहपूर्वक']","['दयालु', 'सहृदय', 'सन्मानजनक', 'महेनतु', 'उदार']"
['juge'],['Richter'],['судья'],"['judge', 'jurist', 'justice']","['法官', '推事', '裁判官']","['jueza', 'juez', 'magistrado', 'togado', 'árbitro']",['裁判官'],"['판사', '법관']",['kohtunik'],"['tuomari', 'juristi', 'lakimies']","['rechter', 'kenner', 'scheidsrechter']","['न्यायाधीश', 'जज', 'निर्णायक', 'मुलाजिम', 'अधिकारी']",judge,"['giùdice', 'giudice', 'pretore', 'magistrato']","['nyayadhish', 'jaj', 'nirnaayak', 'mulajim', 'adhikaari']","['vichaarakan', 'nyayaadhipan', 'moolyanirnnayakan', 'nirnnaayakan', 'nyaayamoorthi']","['naduvar', 'mathippeeduseibavar', 'arasan', 'neethipathi', 'theerppaalar']","['nyaayamuurti', 'teerpudaaru', 'vicharakudu', 'pariseelakudu', 'nirnetha']","['nyayadhish', 'vichaarak', 'nirnayak', 'nyaymurti', 'pramanbhut']","['വിചാരകൻ', 'ന്യായാധിപൻ', 'മൂല്യനിർണ്ണയകൻ', 'നിര്ണ്ണായകൻ', 'ന്യായമൂർത്തി']","['நடுவர்', 'மதிப்பீடுசெய்பவர்', 'அரசன்', 'நீதிபதி', 'தீர்ப்பாளர்']","['న్యాయమూర్తి', 'తీర్పుదారు', 'విచారకుడు', 'పరిశీలకుడు', 'నిర్ణేత']","['ન્યાયાધીશ', 'વિચારક', 'નિર્ણાયક', 'ન્યાયમૂર્તિ', 'પ્રમાણભૂત']","['विचारकन', 'न्यायाधिपन', 'मूल्यनिर्णायकन', 'निर्णायकन', 'न्यायमूर्ति']","['नादुवर', 'मथिप्पीदुसेइबावर', 'अरसन', 'नीतिपति', 'थीरप्पालर']","['न्यायमूर्ति', 'तीरपुदारु', 'विचारकुडु', 'परिशीलकुडु', 'निर्नेथा']","['न्यायाधीश', 'विचारक', 'निर्णायक', 'न्यायमूर्ति', 'प्रमाणभूत']"
